district_name,state,nces_id,url,any_link_found,n_links_found
NA,NA,NA,NA,FALSE,0
duncan unified district (4228),arizona,0402600,https://dusdwildkats.org/,FALSE,0
la tierra community school inc (90900),arizona,0400844,http://www.latierracommunityschool.org/,TRUE,1
alma school district,arkansas,0502250,http://www.AlmaSD.net,FALSE,0
arkadelphia school district,arkansas,0502430,http://apsd.k12.ar.us,FALSE,0
arkansas virtual academy,arkansas,0500394,http://www.arva.org,FALSE,0
ashdown school district,arkansas,0502580,http://www.ashdownschools.org,FALSE,0
batesville school district,arkansas,0500019,http://www.batesvilleschools.com,TRUE,5
bauxite school district,arkansas,0502790,http://miners.k12.ar.us,FALSE,0
bay school district,arkansas,0502820,http://Yellowjackets.k12.ar.us,FALSE,0
bearden school district,arkansas,0500032,http://bearden.k12.ar.us,FALSE,0
beebe school district,arkansas,0502880,http://badger.k12.ar.us,FALSE,0
berryville school district,arkansas,0503150,http://bobcat.k12.ar.us/,FALSE,0
booneville school district,arkansas,0503450,http://www.booneville.k12.ar.us,FALSE,0
bradford school district,arkansas,0503480,http://bradford.k12.ar.us,FALSE,0
brinkley school district,arkansas,0503630,http://www.brinkleyschools.com,FALSE,0
brookland school district,arkansas,0503640,http://brookland.crsc.k12.ar.us,FALSE,0
bryant school district,arkansas,0503690,http://www.bryantschools.org,FALSE,0
buffalo is. central sch. dist.,arkansas,0503710,http://www.buffaloislandcentral.com,TRUE,1
cabot school district,arkansas,0503750,http://cabot.k12.ar.us,TRUE,4
caddo hills school district,arkansas,0503770,http://caddohills.dsc.k12.ar.us,FALSE,0
calico rock school district,arkansas,0503840,http://pirates.k12.ar.us,FALSE,0
camden fairview school dist.,arkansas,0506060,http://cfsd.k12.ar.us,FALSE,0
capitol city lighthouse academy,arkansas,0500413,http://lighthouse-academies.org,FALSE,0
cedarville school district,arkansas,0504080,http://cedarville.ar.schoolwebpages.com,FALSE,0
charleston school district,arkansas,0504200,http://tigers.wsc.k12.ar.us,TRUE,2
cleveland county school dist.,arkansas,0500067,http://rison.k12.ar.us,FALSE,0
clinton school district,arkansas,0504410,http://clinton.k12.ar.us,FALSE,0
conway school district,arkansas,0504590,http://www.conwayschools.org,TRUE,2
corning school district,arkansas,0500009,http://www.corningschools.k12.ar.us,FALSE,0
cotter school district,arkansas,0504680,http://cotterschools.net,FALSE,0
county line school district,arkansas,0504740,http://indians.wsc.k12.ar.us,FALSE,0
cross county school district,arkansas,0507740,http://www.crosscountyschools.com,TRUE,1
dewitt school district,arkansas,0500001,http://dewittschooldistrict.net,FALSE,0
drew central school district,arkansas,0505470,http://www.drewcentral.org,FALSE,0
earle school district,arkansas,0505550,http://www.earle.crsc.k12.ar.us,FALSE,0
east poinsett co. school dist.,arkansas,0500048,http://epc.k12.ar.us,FALSE,0
el dorado school district,arkansas,0505680,http://www.eldoradopublicschools.com,FALSE,0
england school district,arkansas,0505850,http://england.k12.ar.us,FALSE,0
eureka springs school district,arkansas,0505970,http://eurekaspringsschools.k12.ar.us,FALSE,0
farmington school district,arkansas,0506090,http://farmcards.org,FALSE,0
fayetteville school district,arkansas,0506120,http://www.fayar.net,FALSE,0
flippin school district,arkansas,0506150,http://flippin.ar.schoolwebpages.com,FALSE,0
fordyce school district,arkansas,0506210,http://fordyceschools.org,FALSE,0
forrest city school district,arkansas,0506270,http://mustang.grsc.k12.ar.us,TRUE,1
fort smith school district,arkansas,0506330,http://www.fortsmithschools.org,FALSE,0
gentry school district,arkansas,0506540,http://gentrypioneers.com,TRUE,1
glen rose school district,arkansas,0506630,http://www.grbeavers.org,FALSE,0
green forest school district,arkansas,0506870,http://www.gf.k12.ar.us,FALSE,0
greene co. tech school dist.,arkansas,0513080,http://www.gctsd.k12.ar.us,TRUE,1
greenland school district,arkansas,0506930,http://greenlandschools.k12.ar.us,FALSE,0
gurdon school district,arkansas,0507110,http://gurdon.ar.schoolwebpages.com,FALSE,0
haas hall academy,arkansas,0500078,http://haashall.org,FALSE,0
haas hall bentonville,arkansas,0500416,http://haashall.org,FALSE,0
hamburg school district,arkansas,0500042,http://hsdlions.org,FALSE,0
highland school district,arkansas,0507770,http://highlandrebels.k12.ar.us,FALSE,0
hillcrest school district,arkansas,0500071,http://hillcrest.k12.ar.us,TRUE,1
hot springs school district,arkansas,0507890,http://www.hssd.net,FALSE,0
huntsville school district,arkansas,0508130,http://eagle.nwsc.k12.ar.us,FALSE,0
jackson co. school district,arkansas,0513230,http://bulldogs.k12.ar.us,FALSE,0
jacksonville lighthouse charter,arkansas,0500402,http://www.lighthouse-academies.org/jlcs.htm,FALSE,0
jasper school district,arkansas,0508240,http://jasper.k12.ar.us,FALSE,0
junction city school district,arkansas,0508340,http://junctioncity.k12.ar.us/,TRUE,1
kipp delta public schools,arkansas,0500062,http://www.deltacollegeprep.org,FALSE,0
lakeside school district,arkansas,0508670,http://lakesidesd.org,TRUE,1
lamar school district,arkansas,0508700,http://lamarwarriors.org,TRUE,3
lavaca school district,arkansas,0508730,http://lavacapublicschools.k12.ar.us,FALSE,0
lawrence county school district,arkansas,0500082,http://www.lcsd.k12.ar.us,FALSE,0
lead hill school district,arkansas,0503420,http://leadhill.ar.schoolwebpages.com,FALSE,0
lee county school district,arkansas,0509360,http://lcsd1.grsc.k12.ar.us/,FALSE,0
lisa academy charter,arkansas,0500074,http://www.lisaacademy.org,FALSE,0
little rock school district,arkansas,0509000,http://www.lrsd.org,TRUE,3
lonoke school district,arkansas,0509060,http://lonokeschools.org,TRUE,2
magazine school district,arkansas,0509150,http://magazinerattlers.k12.ar.us,FALSE,0
magnet cove school dist.,arkansas,0509190,http://magnetcove.k12.ar.us,FALSE,0
